Season	No. in series	Company	Deal	Entrepreneur Gender	Amount	Equity	Valuation
1	10	Mr. Poncho	No	Mixed Team			
1	11	Hells Bells Helmets 	Yes	Mixed Team	"$500,000 "	50%	1000000.00
1	11	Chef In Black	Yes	Female	"$50,000 "	40%	125000.00
1	11	Ink Flip	No	Male			
1	11	Romp N’ Roll 	No	Mixed Team			
1	11	The Twister 	No	Male			
1	12	Grease Monkey Wipes	Yes	Mixed Team	"$40,000 "	40%	100000.00
1	12	Wee Can Shop 	No	Mixed Team			
1	12	The Podillow	No	Mixed Team			
1	12	The Factionist 	No	Male			
1	13	Caffeindicator	Yes	Male	"$200,000 "	50%	400000.00
1	13	Lipstick Remix	Yes	Female	"$105,000 "	50%	210000.00
1	13	Legal Grind	No	Mixed Team			
1	13	Captain Ice Cream	No	Male			
1	14	Nubrella	Yes	Male	"$200,000 "	51%	392157.00
1	14	Qubits	Yes	Male	"$90,000 "	51%	176471.00
1	14	Send A Ball	No	Female			
1	14	Pillars of Slippers	No	Female			
1	14	Llama Brew	No	Mixed Team			
2	1	Wurkin Stiffs	Yes	Male	"$100,000 "	40%	250000.00
2	1	Tippi Toes	Yes	Female	"$100,000 "	30%	333333.00
2	1	CBS Foods	No	Male			
2	1	Copa di Vino	No	Male			
2	2	Toygaroo	Yes	Female	"$200,000 "	35%	571429.00
2	2	First Defense Nasal Screen	Yes	Male	"$750,000 "	30%	2500000.00
2	2	Vurtego	No	Male			
2	2	Wake n' Bacon	No	Male			
2	3	Mod Mom Furniture	Yes	Female	"$90,000 "	33%	272727.00
2	3	Flipoutz	Yes	Mixed Team	"$100,000 "	25%	400000.00
2	3	Fitness Stride	No	Male			
2	3	Pure Ayre	No	Male			
2	4	Broccoli Wad	Yes	Male	"$50,000 "	40%	125000.00
2	4	Hillbilly Brand	Yes	Male	"$75,000 "	25%	300000.00
2	4	Ride-On Carry-On	Yes	Mixed Team	"$50,000 "	25%	200000.00
2	4	Uncle Zip's Beef Jerky	No	Male			
2	5	Lightfilm 	Yes	Male	"$10,000 "	70%	14286.00
2	5	Fridge Fronts	Yes	Female	"$100,000 "	50%	200000.00
2	5	New Era Brands	No	Male			
2	5	Thin Gloss	No	Female			
2	6	Sweep Easy	Yes	Male	"$75,000 "	33%	227273.00
2	6	Daisy Cakes	Yes	Female	"$50,000 "	25%	200000.00
2	6	Hot Mama Gowns	No	Female			
2	6	Caddy Swag	No	Mixed Team			
2	7	Hydromax	Yes	Male	"$50,000 "	50%	100000.00
2	7	Carsik Bib	No	Male			
2	7	Ecomowers	No	Male			
2	7	Games2U	No	Male			
2	8	HyConn	Yes	Male	"$1,250,000 "	100%	1250000.00
2	8	Origaudio	Yes	Male	"$150,000 "	15%	1000000.00
2	8	Man Candle	No	Male			
2	8	Original Runner Company	No	Female			
2	9	Aldo Orta Jewelry	Yes	Male	"$180,000 "	45%	400000.00
2	9	One Sole	Yes	Female	"$500,000 "	35%	1428571.00
2	9	CitiKitty	Yes	Female	"$100,000 "	30%	333333.00
2	9	Samson Martin	No	Female			
3	1	EZ VIP	Yes	Male	"$150,000 "	30%	500000.00
3	1	The Clean Bottle	Yes	Male	"$60,000 "	8%	750000.00
3	1	My Wonderful Life	No	Female			
3	1	Business Ghost	No	Male			
3	2	I Want To Draw A Cat For You	Yes	Male	"$25,000 "	33%	75758.00
