Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
4,23,Vermont Butcher Block,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
4,23,Squirrel Boss Bird Feeder,No,Pet Products,Male,,,,,,,,,,,,0,,
4,24,Pink Shutter Photo Booths,Yes,Consumer Products,Male,"$300,000",33%,"$909,091",1,,,,,,,,1,"$300,000",plus equal salary distribution of all the profits
4,24,KazAM Balancing Bike's,Yes,Fitness / Sports,Female,"$300,000",32%,"$937,500",1,1,,,,,,,2,"$150,000",
4,24,Baby's Badass Burgers,No,Food and Beverage,Female,,,,,,,,,,,,0,,
4,24,Track Days,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
4,25,Stella Valle Jewelry,Yes,Fashion / Beauty,Female,"$150,000",35%,"$428,571",,1,1,,,,,,2,"$75,000",
4,25,Geek Chic,Yes,Fashion / Beauty,Male,"$300,000",25%,"$1,200,000",,,,1,,,,,1,"$300,000",
4,25,LugLess,No,Consumer Products,Male,,,,,,,,,,,,0,,
4,25,Jones Scones,No,Food and Beverage,Male,,,,,,,,,,,,0,,
4,26,Ryan's Barkery,Yes,Pet Products,Male,"$25,000",25%,"$100,000",1,,,,,,,,1,"$25,000",
4,26,Verbalize It App,Yes,Business Services,Male,"$250,000",20%,"$1,250,000",,,,,,1,,,1,"$250,000",
4,26,Tom n Chee,Yes,Food and Beverage,Male,"$600,000",15%,"$4,000,000",1,1,,,,,,,2,"$300,000",
4,26,Three Day Rule,No,Software / Tech,Female,,,,,,,,,,,,0,,
5,1,Sweet Ballz,Yes,Food and Beverage,Male,"$250,000",25%,"$1,000,000",1,1,,,,,,,2,"$125,000",
5,1,Postcard on the Run,Yes,Software / Tech,Male,"$300,000",8%,"$4,000,000",,,,1,,,,,1,"$300,000",
5,1,Lynnaes Gourmet Pickles,No,Food and Beverage,Female,,,,,,,,,,,,0,,
5,1,RoloDoc,No,Healthcare,Male,,,,,,,,,,,,0,,
5,2,Kane & Couture Dog Clothes,Yes,Pet Products,Female,"$150,000",40%,"$375,000",,,1,,1,,,,2,"$75,000",
5,2,Breathometer,Yes,Healthcare,Male,"$1,000,000",30%,"$3,333,333",,1,1,1,1,1,,,5,"$200,000",
5,2,Mango Mango Preserve,No,Food and Beverage,Female,,,,,,,,,,,,0,,
5,2,Man Medals,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
5,3,Freeloader Child Carrier,Yes,Children / Education,Male,"$200,000",33%,"$606,061",,,,1,,,,,1,"$200,000",
